"date","conversions","clicks","revenue"
"2024-09-03",0,0,"0.00"
"2024-09-02",1,5,"12.00"
"2024-09-01",0,0,"0.00"
"2024-08-31",0,0,"0.00"
"2024-08-30",2,11,"12.00"
"2024-08-29",0,0,"0.00"
"2024-08-28",0,0,"0.00"
"2024-08-27",0,0,"0.00"
"2024-08-26",0,0,"0.00"
"2024-08-25",0,0,"0.00"
